Date,Cumulative Total Return (Net Dividends)
1954-04-01,63.0852
1954-04-02,63.3253
1954-04-05,63.6255
1954-04-06,62.1249
1954-04-07,62.7251
1954-04-08,64.3457
1954-04-09,65.5462
1954-04-12,65.4862
1954-04-13,65.9064
1954-04-14,67.1669
1954-04-15,67.7071
1954-04-19,66.6266
1954-04-20,66.5666
1954-04-21,65.9064
1954-04-22,66.1465
1954-04-23,66.7467
1954-04-26,67.3469
1954-04-27,66.6266
1954-04-28,66.6266
1954-04-29,69.1477
1954-04-30,69.6279
1954-05-03,69.3277
1954-05-04,69.7479
1954-05-05,69.8079
1954-05-06,71.1284
1954-05-07,71.9688
1954-05-10,71.7887
1954-05-11,71.0084
1954-05-12,72.389
1954-05-13,71.4286
1954-05-14,72.8691
1954-05-17,73.1092
1954-05-18,73.1693
1954-05-19,72.389
1954-05-20,72.9892
1954-05-21,74.0096
1954-05-24,74.0696
1954-05-25,73.6495
1954-05-26,75.09
1954-05-27,74.3698
1954-05-28,75.2101
1954-06-01,75.2101
1954-06-02,75.03
1954-06-03,74.97
1954-06-04,74.6699
1954-06-07,74.0096
1954-06-08,70.108
1954-06-09,68.9676
1954-06-10,70.108
1954-06-11,71.5486
1954-06-14,71.7887
1954-06-15,73.0492
1954-06-16,74.3097
1954-06-17,73.8295
1954-06-18,74.3097
1954-06-21,74.4298
1954-06-22,74.5498
1954-06-23,74.8499
1954-06-24,75.6302
1954-06-25,75.2701
1954-06-28,75.7503
1954-06-29,76.6507
1954-06-30,75.3301
1954-07-01,75.3301
1954-07-02,77.611
1954-07-06,79.5918
1954-07-07,79.7119
1954-07-08,79.7119
1954-07-09,80.9124
1954-07-12,80.7923
1954-07-13,80.1921
1954-07-14,80.6122
1954-07-15,81.2125
1954-07-16,80.4322
1954-07-19,79.952
1954-07-20,79.1116
1954-07-21,80.2521
1954-07-22,81.6927
1954-07-23,81.9328
1954-07-26,82.1128
1954-07-27,83.1933
1954-07-28,83.5534
1954-07-29,84.2137
1954-07-30,85.3541
1954-08-02,86.0144
1954-08-03,85.6543
1954-08-04,85.4742
1954-08-05,84.6939
1954-08-06,82.3529
1954-08-09,80.7923
1954-08-10,82.2929
1954-08-11,84.3938
1954-08-12,83.6134
1954-08-13,84.3938
1954-08-16,86.3745
1954-08-17,86.7947
1954-08-18,86.6146
1954-08-19,87.0348
1954-08-20,87.3349
1954-08-23,86.0744
1954-08-24,85.2941
1954-08-25,83.9736
1954-08-26,83.4934
1954-08-27,84.0336
1954-08-30,82.1729
